packet_size,protocol,time_diff,label,packet_rate
102,6,0.0001111030578613,1,
66,6,0.0096349716186523,1,
102,6,0.004796028137207,1,
102,6,0.000108003616333,1,
102,6,0.0356478691101074,1,
102,6,0.0001170635223388,1,
102,6,0.0072329044342041,1,
102,6,0.0001111030578613,1,
102,6,0.0172698497772216,1,
102,6,0.0001101493835449,1,
102,6,0.0202128887176513,1,
102,6,0.0001490116119384,1,
102,6,0.0195109844207763,1,
102,6,0.0001590251922607,1,
102,6,0.0191531181335449,1,
102,6,0.0001490116119384,1,
102,6,0.0190868377685546,1,
102,6,0.0001461505889892,1,
102,6,0.0192699432373046,1,
102,6,0.0001440048217773,1,
102,6,0.0196800231933593,1,
102,6,0.0001430511474609,1,
102,6,0.0216338634490966,1,
102,6,0.0001490116119384,1,
102,6,0.018568992614746,1,
102,6,0.0001430511474609,1,
102,6,0.0204100608825683,1,
102,6,0.0001478195190429,1,
102,6,0.0198302268981933,1,
102,6,0.0001449584960937,1,
102,6,0.0190699100494384,1,
102,6,0.000154972076416,1,
102,6,0.02018404006958,1,
102,6,0.0001580715179443,1,
102,6,0.020853042602539,1,
102,6,0.0002789497375488,1,
102,6,0.0191829204559326,1,
102,6,0.0001599788665771,1,
102,6,0.0203330516815185,1,
102,6,0.0001471042633056,1,
102,6,0.0198779106140136,1,
102,6,0.0001990795135498,1,
102,6,0.0203499794006347,1,
102,6,0.0001909732818603,1,
102,6,0.019644021987915,1,
102,6,0.0001459121704101,1,
102,6,0.0200519561767578,1,
102,6,0.0001440048217773,1,
102,6,0.020557165145874,1,
102,6,0.0001437664031982,1,
102,6,0.0199010372161865,1,
102,6,0.0001411437988281,1,
102,6,0.0207018852233886,1,
102,6,0.0001969337463378,1,
102,6,0.0203912258148193,1,
102,6,0.0001528263092041,1,
102,6,0.0185370445251464,1,
102,6,0.0001471042633056,1,
102,6,0.0189988613128662,1,
102,6,0.0001420974731445,1,
102,6,0.0230500698089599,1,
102,6,0.0001459121704101,1,
102,6,0.0177409648895263,1,
102,6,0.0001430511474609,1,
102,6,0.0206809043884277,1,
102,6,0.0001730918884277,1,
102,6,0.0202460289001464,1,
102,6,0.0001430511474609,1,
102,6,0.0202298164367675,1,
102,6,0.0001389980316162,1,
102,6,0.0219380855560302,1,
102,6,0.000140905380249,1,
102,6,0.0194599628448486,1,
102,6,0.0001411437988281,1,
102,6,0.0197510719299316,1,
102,6,0.0001659393310546,1,
102,6,0.0203578472137451,1,
102,6,0.0001411437988281,1,
102,6,0.0202679634094238,1,
102,6,0.0001389980316162,1,
102,6,0.0217540264129638,1,
